hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_breakfast_buffet,has_pool,has_gym,has_function_room
Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-10,2018-08-11,Single Bed in Female Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-10,2018-08-11,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-15,2018-08-16,Single Bed in Dormitory Room,PHP 572,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-15,2018-08-16,Single Bed in Female Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-15,2018-08-16,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-20,2018-08-21,Single Bed in Dormitory Room,PHP 572,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-20,2018-08-21,Single Bed in Female Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-20,2018-08-21,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-30,2018-08-31,Single Bed in Dormitory Room,PHP 572,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-30,2018-08-31,Single Bed in Female Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-30,2018-08-31,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-09-09,2018-09-10,Single Bed in Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-09-09,2018-09-10,Single Bed in Female Dormitory Room,PHP 627.44,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-09-09,2018-09-10,Standard Double or Twin Room,"PHP 1,980",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-09-19,2018-09-20,Single Bed in Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-09-19,2018-09-20,Single Bed in Female Dormitory Room,PHP 627.44,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-09-19,2018-09-20,Standard Double or Twin Room,"PHP 1,980",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-10-19,2018-10-20,Single Bed in Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-10-19,2018-10-20,Single Bed in Female Dormitory Room,PHP 627.44,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-10-19,2018-10-20,Standard Double or Twin Room,"PHP 1,980",2,(6 km from centre),0,0,0,0,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-06-22,2018-06-23,Raffles Junior Suite,"PHP 10,500",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-06-22,2018-06-23,Executive One-Bedroom Suite,"PHP 15,300",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-06-23,2018-06-24,Raffles Junior Suite,"PHP 10,500",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-06-23,2018-06-24,Executive One-Bedroom Suite,"PHP 15,300",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-06-25,2018-06-26,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-06-25,2018-06-26,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-06-26,2018-06-27,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-06-26,2018-06-27,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-06-28,2018-06-29,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-06-28,2018-06-29,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-05,2018-07-06,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-05,2018-07-06,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-11,2018-07-12,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-11,2018-07-12,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-16,2018-07-17,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-16,2018-07-17,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-21,2018-07-22,Raffles Junior Suite,"PHP 10,500",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-21,2018-07-22,Executive One-Bedroom Suite,"PHP 15,300",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-26,2018-07-27,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-26,2018-07-27,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-31,2018-08-01,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-07-31,2018-08-01,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-08-05,2018-08-06,Raffles Junior Suite,"PHP 10,500",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-08-05,2018-08-06,Executive One-Bedroom Suite,"PHP 15,300",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-08-10,2018-08-11,Raffles Junior Suite,"PHP 10,500",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-08-10,2018-08-11,Executive One-Bedroom Suite,"PHP 15,300",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-08-15,2018-08-16,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-08-15,2018-08-16,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-08-20,2018-08-21,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-08-20,2018-08-21,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-08-30,2018-08-31,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-08-30,2018-08-31,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-09-09,2018-09-10,Raffles Junior Suite,"PHP 10,500",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-09-09,2018-09-10,Executive One-Bedroom Suite,"PHP 15,300",2,(6 km from centre),1,0,1,1,0

