hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_breakfast_buffet,has_pool,has_gym,has_function_room
Hotel Uno,"C.M. Recto St. (Beside Lawaan Theatre), 8000 Davao City, Philippines",2,6.5,2018-06-21,2018-06-22,Twin Premier,"₱ 1,320",2,(700 m from centre),0,0,0,0,0
Crown Regency Residences Davao,"J. P. Cabaguio Avenue, Agdao, 8000 Davao City, Philippines",4,6.4,2018-06-21,2018-06-22,Standard Room,"₱ 1,910.57",2,(3.5 km from centre),0,0,1,1,0
Crown Regency Residences Davao,"J. P. Cabaguio Avenue, Agdao, 8000 Davao City, Philippines",4,6.4,2018-06-21,2018-06-22,Family Villa,"₱ 3,577.24",4,(3.5 km from centre),0,0,1,1,0
Executive Tulip Apartelle,"Tulip Drive, Matina, 8000 Davao City, Philippines",2,7.9,2018-06-21,2018-06-22,Deluxe Single Room,"₱ 2,000",1,(2.2 km from centre),0,0,0,0,0
Executive Tulip Apartelle,"Tulip Drive, Matina, 8000 Davao City, Philippines",2,7.9,2018-06-21,2018-06-22,Deluxe Twin Room,"₱ 2,400",2,(2.2 km from centre),0,0,0,0,0
Executive Tulip Apartelle,"Tulip Drive, Matina, 8000 Davao City, Philippines",2,7.9,2018-06-21,2018-06-22,Deluxe Triple Room,"₱ 2,800",3,(2.2 km from centre),0,0,0,0,0
Executive Tulip Apartelle,"Tulip Drive, Matina, 8000 Davao City, Philippines",2,7.9,2018-06-21,2018-06-22,Family Room,"₱ 5,000",4,(2.2 km from centre),0,0,0,0,0
Kimochii Suites,"Km6, San Nicolas(B13L4), Buhangin Along Diversion Road, 8000 Davao City, Philippines",2,,2018-06-21,2018-06-22,Budget Double Room,₱ 888,2,(7 km from centre),0,0,0,0,0
Anisabel Suites,"88 F.S. Dizon Rd, Rolling Hills ,Bacaca, Davao City, 8000 Davao City, Philippines",2,8.8,2018-06-21,2018-06-22,Deluxe Double or Twin Room,"₱ 2,800",2,(4.2 km from centre),0,0,0,0,0
Anisabel Suites,"88 F.S. Dizon Rd, Rolling Hills ,Bacaca, Davao City, 8000 Davao City, Philippines",2,8.8,2018-06-21,2018-06-22,Executive Suite,"₱ 3,300",2,(4.2 km from centre),0,0,0,0,0
